name;rating;convenience;security;functionality;comment 
Утятник 39;3.0;1;2;4;Это великолепное здание!
Гараж 6;1.0;4;4;5;Это здание построено из стандартных строительных материалов.
Виадук 40;2.5;5;4;3;Это здание не имеет особых архитектурных особенностей.
Путепровод 49;4.8;3;1;3;Это здание является примером функционального дизайна.
Больница 9;4.4;3;2;4;Это здание представляет собой типичный образец современной архитектуры.
Мансарда 79;0.2;2;1;4;Это здание представляет собой типичный образец современной архитектуры.
Институт 79;3.8;3;1;1;Это великолепное здание!
Причал 21;2.1;3;4;2;Это здание имеет стандартную конструкцию.
Чердак 89;2.7;4;4;3;Это здание имеет стандартную конструкцию.
Верблюжатник 72;1.2;4;4;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Логово 46;2.5;3;4;2;Это здание является примером функционального дизайна.
Порт 4;2.3;5;1;2;Это здание не имеет особых архитектурных особенностей.
Супермаркет 25;2.6;5;1;1;Это здание не имеет особых архитектурных особенностей.
Улей 62;1.5;3;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ферма 90;4.5;5;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Верфь 58;2.2;3;5;4;Это здание построено из стандартных строительных материалов.
Коттедж 44;3.3;1;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Цирк 11;1.2;5;4;3;Это здание представляет собой типичный образец современной архитектуры.
Термитник 49;3.2;3;4;4;Это здание не имеет особых архитектурных особенностей.
Цирк 24;0.8;1;5;2;Это здание является примером функционального дизайна.
Ферма 90;2.2;3;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Цирк 47;1.2;1;2;4;У этого здания отличная архитектура.
Особняк 89;4.7;5;5;2;Это великолепное здание!
Скворечник 47;4.6;5;3;5;Это здание является примером функционального дизайна.
Детский сад 62;2.4;2;2;1;У этого здания отличная архитектура.
Цирк 47;1.5;1;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Университет 52;1.7;5;2;5;Это здание прекрасно вписывается в окружающий ландшафт.
Детский сад 62;1.2;4;5;1;Это здание построено из стандартных строительных материалов.
Скворечник 47;3.9;2;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Университет 52;1.2;2;5;4;Это здание не имеет особых архитектурных особенностей.
Ресторан 7;4.1;5;3;2;Это здание имеет стандартную конструкцию.
Гараж 6;3.9;1;5;5;Мне нравится дизайн этого здания.
Особняк 89;4.9;3;4;5;Это здание имеет стандартную конструкцию.
Супермаркет 25;3.9;3;4;3;Это здание имеет стандартную конструкцию.
Особняк 60;0.5;4;4;5;Это здание не имеет особых архитектурных особенностей.
Причал 21;2.6;3;4;2;Это здание очень функционально.
Термитник 49;1.8;5;1;2;Это здание является примером функционального дизайна.
Порт 4;1.3;4;5;1;Это здание представляет собой типичный образец современной архитектуры.
Убежище 86;3.5;2;5;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Утятник 39;0.3;4;1;2;Это здание является примером функционального дизайна.
ТЭЦ 61;0.4;2;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Институт 79;2.4;4;2;1;Это здание не имеет особых архитектурных особенностей.
Академия 83;0.5;4;5;2;Это великолепное здание!
Замок 41;3.6;2;1;1;Это здание построено из стандартных строительных материалов.
Театр 95;0.4;5;2;4;Это здание является примером функционального дизайна.
Супермаркет 25;0.1;2;2;4;Это здание очень функционально.
Путепровод 49;2.6;5;5;2;Мне нравится дизайн этого здания.
Причал 21;1.9;5;1;1;Это здание представляет собой типичный образец современной архитектуры.
Гараж 6;3.2;4;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Мансарда 79;1.5;5;4;3;Мне нравится дизайн этого здания.
Мансарда 79;1.3;3;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Причал 21;3.6;5;2;4;Это здание представляет собой типичный образец современной архитектуры.
Сеть 95;3.4;2;2;2;Это здание построено из стандартных строительных материалов.
ТЭЦ 61;3.6;3;4;3;Это здание не имеет особых архитектурных особенностей.
Логово 46;2.5;3;4;1;У этого здания отличная архитектура.
Коттедж 44;0.2;3;4;5;Это здание прекрасно вписывается в окружающий ландшафт.
Док 39;4.0;1;5;4;Это здание является примером функционального дизайна.
Мансарда 79;3.2;5;5;2;Это здание имеет стандартную конструкцию.
Виадук 40;4.8;5;5;1;Это здание имеет стандартную конструкцию.
Лежбище 4;4.0;4;4;3;Это здание построено из стандартных строительных материалов.
Замок 41;0.6;5;5;5;Это здание прекрасно вписывается в окружающий ландшафт.
Верблюжатник 72;5.0;1;3;4;Это здание прекрасно вписывается в окружающий ландшафт.
Причал 21;4.7;4;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Замок 41;4.1;3;5;1;Это здание не имеет особых архитектурных особенностей.
Виадук 40;1.4;4;3;4;Это здание имеет стандартную конструкцию.
Сеть 1;2.1;1;4;4;Это здание представляет собой типичный образец современной архитектуры.
Институт 79;1.2;5;2;1;Это здание построено из стандартных строительных материалов.
Утятник 39;4.7;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
ТЭЦ 61;0.5;5;4;2;Это здание построено из стандартных строительных материалов.
Ресторан 7;3.8;2;2;3;Это здание имеет стандартную конструкцию.
Особняк 89;3.9;2;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Замок 41;4.3;3;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Порт 4;0.1;3;3;3;Это здание очень функционально.
Путепровод 49;2.7;4;4;5;Это здание прекрасно вписывается в окружающий ландшафт.
Театр 40;1.1;3;4;5;Это здание не имеет особых архитектурных особенностей.
Виадук 40;3.4;5;2;4;Это великолепное здание!
Гусятник 3;4.7;3;1;4;У этого здания отличная архитектура.
Утятник 39;3.6;1;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Особняк 60;2.8;3;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Особняк 60;1.3;1;1;1;Это здание является примером функционального дизайна.
Академия 83;0.5;3;3;3;Это здание имеет стандартную конструкцию.
Переправа 83;3.7;5;3;2;Это здание имеет стандартную конструкцию.
 Вилла 47;4.9;4;4;3;Это великолепное здание!
Лежбище 4;1.1;3;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Театр 95;2.5;3;5;2;Мне нравится дизайн этого здания.
Цирк 11;4.0;2;1;2;Это здание прекрасно вписывается в окружающий ландшафт.
Утятник 39;0.1;4;3;5;Это здание представляет собой типичный образец современной архитектуры.
Дуплянка 76;2.6;3;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Муравейник 83;2.7;3;2;3;Это здание очень функционально.
Улей 62;0.2;2;5;5;Это здание представляет собой типичный образец современной архитектуры.
Убежище 86;1.1;1;5;1;Это здание имеет стандартную конструкцию.
Цирк 47;1.9;1;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
 Вилла 47;2.3;1;4;1;Это здание прекрасно вписывается в окружающий ландшафт.
Порт 4;0.6;1;5;2;Это здание является примером функционального дизайна.
Убежище 86;1.6;2;1;4;Это здание представляет собой типичный образец современной архитектуры.
Университет 52;3.4;5;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
 Вилла 78;2.2;5;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Путепровод 49;1.5;5;1;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
ТЭЦ 61;2.0;1;1;2;Это здание имеет стандартную конструкцию.
Бункер 39;1.8;2;3;3;У этого здания отличная архитектура.
Убежище 86;4.7;2;1;2;Это здание не имеет особых архитектурных особенностей.
Сеть 1;4.2;1;4;2;Это здание не имеет особых архитектурных особенностей.
Термитник 49;4.3;1;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Виадук 40;1.2;2;5;3;Это здание не имеет особых архитектурных особенностей.
Сеть 1;3.8;1;3;5;Это великолепное здание!
 Вилла 78;2.1;3;3;2;У этого здания отличная архитектура.
Сеть 1;0.8;4;3;5;Это здание представляет собой типичный образец современной архитектуры.
Гараж 6;1.1;2;4;2;Это здание имеет стандартную конструкцию.
Детский сад 62;1.0;2;4;5;Это здание не имеет особых архитектурных особенностей.
Детский сад 62;2.7;1;2;2;Это здание является примером функционального дизайна.
Цирк 24;3.1;4;5;3;Это здание имеет стандартную конструкцию.
Детский сад 62;1.5;3;4;2;Это здание является примером функционального дизайна.
Цирк 47;3.4;3;5;1;Это здание не имеет особых архитектурных особенностей.
Институт 79;1.0;1;5;5;Это великолепное здание!
Замок 41;1.8;2;3;5;Это здание очень функционально.
Муравейник 83;2.3;3;3;1;Это здание представляет собой типичный образец современной архитектуры.
Особняк 89;2.1;3;3;3;У этого здания отличная архитектура.
Детский сад 62;2.8;2;2;5;Это здание построено из стандартных строительных материалов.
Хаус 80;1.7;1;1;1;Мне нравится дизайн этого здания.
Утятник 39;1.0;5;4;5;Это здание очень функционально.
Ресторан 7;0.3;1;3;1;Это здание построено из стандартных строительных материалов.
Утятник 39;0.2;4;2;5;У этого здания отличная архитектура.
Виадук 40;1.5;4;4;1;Это здание представляет собой типичный образец современной архитектуры.
Термитник 49;4.3;2;3;4;Это здание не имеет особых архитектурных особенностей.
Логово 46;4.3;4;5;1;У этого здания отличная архитектура.
ТЭЦ 61;0.8;2;2;2;Это здание представляет собой типичный образец современной архитектуры.
Убежище 86;2.2;5;2;5;Это здание представляет собой типичный образец современной архитектуры.
Супермаркет 25;3.1;1;5;2;Мне нравится дизайн этого здания.
Ферма 90;1.5;3;5;1;Это здание представляет собой типичный образец современной архитектуры.
Больница 9;4.6;1;1;1;Это здание не имеет особых архитектурных особенностей.
Убежище 86;3.4;4;4;3;Это здание является примером функционального дизайна.
Утятник 39;0.4;1;3;2;Это великолепное здание!
Архив 58;3.2;5;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Сеть 1;0.9;5;5;3;Это здание построено из стандартных строительных материалов.
Убежище 86;1.6;1;4;1;Это здание является примером функционального дизайна.
Ангар 29;3.8;1;3;5;Это здание имеет стандартную конструкцию.
Чердак 89;1.8;2;1;2;Это здание имеет стандартную конструкцию.
Утятник 39;3.2;2;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Гараж 6;2.8;2;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Театр 40;1.7;5;5;3;Это здание имеет стандартную конструкцию.
Дуплянка 76;2.0;5;3;5;Это здание не имеет особых архитектурных особенностей.
Сеть 1;0.9;4;2;3;Это великолепное здание!
Сеть 95;1.0;3;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Верфь 58;4.7;2;3;4;Это великолепное здание!
Детский сад 18;1.4;4;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Особняк 89;2.6;1;3;5;Это великолепное здание!
Утятник 39;4.2;4;3;4;Это здание представляет собой типичный образец современной архитектуры.
ТЭЦ 61;4.0;3;4;3;Это здание имеет стандартную конструкцию.
Бункер 39;3.6;5;2;3;Это здание построено из стандартных строительных материалов.
Улей 62;2.7;4;1;1;Это здание построено из стандартных строительных материалов.
Больница 9;2.8;1;4;2;Это здание не имеет особых архитектурных особенностей.
Супермаркет 25;4.5;4;1;2;Это великолепное здание!
Университет 52;0.8;3;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Университет 52;2.3;1;5;4;Это здание построено из стандартных строительных материалов.
Ресторан 7;1.5;4;1;3;Это здание представляет собой типичный образец современной архитектуры.
Супермаркет 25;4.6;2;5;2;Это здание имеет стандартную конструкцию.
Мансарда 79;4.1;3;5;5;Мне нравится дизайн этого здания.
Логово 46;2.4;1;1;1;Это здание является примером функционального дизайна.
Верфь 58;1.8;3;2;2;Это здание очень функционально.
Утятник 39;2.6;5;4;5;Это здание очень функционально.
Логово 46;1.1;1;1;2;Мне нравится дизайн этого здания.
Ресторан 7;4.8;1;4;4;Это здание имеет стандартную конструкцию.
Мостки 79;1.3;1;5;1;Это здание представляет собой типичный образец современной архитектуры.
Путепровод 49;4.7;2;1;2;У этого здания отличная архитектура.
Академия 83;4.3;5;1;3;Это здание очень функционально.
Причал 21;0.6;1;2;3;Мне нравится дизайн этого здания.
Ферма 90;2.2;2;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Порт 4;0.3;5;4;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
ТЭЦ 61;2.9;2;5;5;Это здание не имеет особых архитектурных особенностей.
 Вилла 47;4.1;4;3;1;Это здание представляет собой типичный образец современной архитектуры.
 Вилла 78;2.5;3;1;2;Это здание построено из стандартных строительных материалов.
Ангар 29;0.6;1;1;1;Это здание представляет собой типичный образец современной архитектуры.
Логово 46;4.1;3;1;5;У этого здания отличная архитектура.
Цирк 11;2.0;2;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Особняк 60;5.0;5;3;3;У этого здания отличная архитектура.
Путепровод 49;3.5;5;4;3;Это здание является примером функционального дизайна.
Убежище 86;1.6;3;1;4;Это здание представляет собой типичный образец современной архитектуры.
Мансарда 79;1.5;3;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Цирк 11;1.7;2;5;2;Это здание имеет стандартную конструкцию.
Коттедж 44;3.3;1;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Бункер 39;0.9;1;2;1;Это здание очень функционально.
Особняк 60;2.3;2;3;1;Это здание не имеет особых архитектурных особенностей.
Порт 4;2.7;1;1;4;Это здание построено из стандартных строительных материалов.
Муравейник 92;4.2;5;2;4;Это здание имеет стандартную конструкцию.
ТЭЦ 61;4.5;5;5;3;Это здание очень функционально.
Сеть 1;3.5;3;3;4;Это здание не имеет особых архитектурных особенностей.
Особняк 89;2.6;3;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Сеть 95;3.2;1;4;4;Это здание не имеет особых архитектурных особенностей.
 Вилла 47;0.9;3;4;1;Это здание является примером функционального дизайна.
Порт 4;0.7;2;2;1;Это здание является примером функционального дизайна.
 Вилла 78;2.3;3;5;1;Это здание построено из стандартных строительных материалов.
Ангар 29;0.6;4;1;3;Это здание является примером функционального дизайна.
Верблюжатник 72;3.4;2;2;5;Это здание имеет стандартную конструкцию.
Гусятник 3;2.4;1;5;1;Мне нравится дизайн этого здания.
Университет 52;4.7;5;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Улей 62;4.8;3;5;3;Мне нравится дизайн этого здания.
Док 39;0.2;3;4;4;Это здание является примером функционального дизайна.
Театр 40;3.0;5;1;3;Это здание является примером функционального дизайна.
Институт 79;2.6;1;5;5;Это здание представляет собой типичный образец современной архитектуры.
Сеть 95;0.9;2;3;2;Это великолепное здание!
Гусятник 3;1.7;3;3;3;Мне нравится дизайн этого здания.
Театр 95;0.1;2;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Институт 79;1.8;1;2;1;Это здание не имеет особых архитектурных особенностей.
Скворечник 47;2.4;2;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Коттедж 44;2.7;5;2;1;Мне нравится дизайн этого здания.
Особняк 60;3.8;4;1;3;Мне нравится дизайн этого здания.
Док 20;1.2;4;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Гараж 6;4.3;2;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Институт 79;4.2;4;1;1;Это здание не имеет особых архитектурных особенностей.
Муравейник 92;3.5;5;1;1;Это здание построено из стандартных строительных материалов.
Сеть 1;0.7;4;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
 Вилла 78;2.0;2;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Бункер 39;1.7;1;5;4;У этого здания отличная архитектура.
Больница 9;2.7;3;4;3;Это здание не имеет особых архитектурных особенностей.
Скворечник 47;0.9;2;5;4;Это здание не имеет особых архитектурных особенностей.
Супермаркет 25;3.4;1;5;3;Это здание построено из стандартных строительных материалов.
Утятник 39;1.9;1;1;3;Это здание имеет стандартную конструкцию.
Ферма 90;4.7;1;5;4;Это здание является примером функционального дизайна.
 Вилла 78;1.1;4;5;4;Это здание представляет собой типичный образец современной архитектуры.
Утятник 39;4.2;5;1;4;Это великолепное здание!
Гусятник 3;2.4;3;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Цирк 24;2.8;3;3;4;Это здание является примером функционального дизайна.
Причал 21;3.7;2;5;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Театр 95;0.2;5;5;5;Это здание очень функционально.
Убежище 86;1.5;5;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Гусятник 3;1.0;4;3;1;Это здание является примером функционального дизайна.
Верблюжатник 72;1.9;5;1;1;Это здание является примером функционального дизайна.
Театр 95;2.6;2;5;3;Это здание построено из стандартных строительных материалов.
Силок 64;1.5;4;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Цирк 11;4.0;5;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Утятник 39;0.1;2;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Муравейник 92;3.5;1;3;3;Это здание построено из стандартных строительных материалов.
Хаус 80;3.4;3;5;4;Это здание построено из стандартных строительных материалов.
Порт 4;4.2;2;2;2;Это здание построено из стандартных строительных материалов.
Логово 46;0.8;3;5;4;Это здание представляет собой типичный образец современной архитектуры.
Путепровод 49;1.6;5;5;1;Это здание не имеет особых архитектурных особенностей.
Коттедж 44;3.3;4;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Особняк 89;2.9;5;4;4;Это здание построено из стандартных строительных материалов.
Виадук 40;2.3;3;3;2;Это здание представляет собой типичный образец современной архитектуры.
Док 39;2.7;2;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Театр 40;2.4;5;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Утятник 39;2.5;4;1;5;Это здание построено из стандартных строительных материалов.
Порт 4;4.1;2;2;3;Это здание имеет стандартную конструкцию.
Хаус 80;1.3;2;4;5;Это здание не имеет особых архитектурных особенностей.
Док 20;2.8;1;1;5;Это здание является примером функционального дизайна.
Особняк 60;2.5;2;5;4;Это здание является примером функционального дизайна.
Хаус 80;1.4;5;5;1;Это великолепное здание!
Верблюжатник 72;1.1;2;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Академия 83;4.0;4;3;1;Это здание представляет собой типичный образец современной архитектуры.
Ангар 29;1.4;1;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Переправа 83;1.2;2;4;4;Это здание является примером функционального дизайна.
Верфь 58;3.1;3;1;1;У этого здания отличная архитектура.
Особняк 60;1.8;3;5;4;Это здание построено из стандартных строительных материалов.
 Вилла 47;1.2;2;3;2;Это здание имеет стандартную конструкцию.
Верфь 76;3.9;4;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Гараж 6;0.9;1;1;2;Это здание построено из стандартных строительных материалов.
Цирк 47;2.5;4;2;5;Мне нравится дизайн этого здания.
 Вилла 78;1.0;4;3;2;Это здание представляет собой типичный образец современной архитектуры.
Больница 9;3.3;3;2;4;Это здание имеет стандартную конструкцию.
Тенета 79;4.0;1;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Цирк 11;3.1;3;1;3;Это здание представляет собой типичный образец современной архитектуры.
Убежище 86;4.2;5;2;1;Это здание не имеет особых архитектурных особенностей.
Силок 64;1.7;1;3;5;Это здание не имеет особых архитектурных особенностей.
Мансарда 79;2.1;5;2;1;Это здание не имеет особых архитектурных особенностей.
ТЭЦ 61;3.2;1;4;4;Это великолепное здание!
Академия 83;2.6;3;4;1;Это здание прекрасно вписывается в окружающий ландшафт.
Гараж 6;0.2;3;4;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Бункер 39;3.7;5;1;3;Это здание представляет собой типичный образец современной архитектуры.
Верфь 58;0.4;5;1;5;Это здание является примером функционального дизайна.
 Вилла 47;4.3;1;2;4;Это здание имеет стандартную конструкцию.
Ангар 29;0.4;3;2;1;У этого здания отличная архитектура.
Замок 41;0.4;1;4;3;Это здание является примером функционального дизайна.
Театр 95;2.3;1;3;2;Это здание построено из стандартных строительных материалов.
 Вилла 47;2.9;1;2;2;Это великолепное здание!
Лежбище 4;1.0;1;3;4;Это здание не имеет особых архитектурных особенностей.
Цирк 11;3.3;5;1;1;У этого здания отличная архитектура.
Гараж 6;5.0;2;4;4;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 7;3.6;2;1;3;Это здание не имеет особых архитектурных особенностей.
ТЭЦ 61;2.1;5;1;5;У этого здания отличная архитектура.
Термитник 49;2.2;3;5;1;Мне нравится дизайн этого здания.
Термитник 49;2.4;5;3;3;Это здание построено из стандартных строительных материалов.
Замок 41;1.4;4;2;3;Это здание очень функционально.
Супермаркет 25;4.4;1;3;4;Это здание имеет стандартную конструкцию.
Архив 58;3.4;5;4;1;Мне нравится дизайн этого здания.
Утятник 39;1.8;3;5;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Тенета 79;2.7;2;5;4;Это здание не имеет особых архитектурных особенностей.
Верфь 76;1.1;4;2;1;Мне нравится дизайн этого здания.
Институт 79;1.6;1;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Детский сад 62;3.1;5;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
 Вилла 47;1.7;4;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мансарда 79;2.6;1;2;5;Это здание построено из стандартных строительных материалов.
Утятник 39;2.9;2;2;3;Это здание представляет собой типичный образец современной архитектуры.
ТЭЦ 61;1.1;3;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мостки 79;2.6;3;2;5;Это здание построено из стандартных строительных материалов.
Хаус 80;1.3;2;5;1;Это здание очень функционально.
Сеть 1;5.0;3;5;2;Это здание не имеет особых архитектурных особенностей.
Университет 52;3.8;4;5;1;Это здание имеет стандартную конструкцию.
Больница 9;4.1;5;5;4;У этого здания отличная архитектура.
Мостки 79;4.8;5;1;2;Это здание построено из стандартных строительных материалов.
Док 39;2.3;2;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Мансарда 79;3.2;2;4;4;Это здание очень функционально.
Гусятник 3;1.0;4;5;5;Это здание имеет стандартную конструкцию.
Замок 41;3.3;1;3;1;Это здание представляет собой типичный образец современной архитектуры.
Верблюжатник 72;1.4;4;2;4;Это здание не имеет особых архитектурных особенностей.
Академия 83;3.8;3;1;4;У этого здания отличная архитектура.
Термитник 49;0.3;5;4;3;Это здание имеет стандартную конструкцию.
Цирк 11;3.9;5;1;5;Это здание имеет стандартную конструкцию.
Порт 4;0.8;5;5;3;У этого здания отличная архитектура.
Особняк 60;1.5;1;1;2;Это здание является примером функционального дизайна.
 Вилла 78;3.3;4;3;5;Это здание является примером функционального дизайна.
Утятник 39;3.5;4;5;5;У этого здания отличная архитектура.
Утятник 39;0.1;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
Бункер 39;3.4;4;1;2;Это здание представляет собой типичный образец современной архитектуры.
Сеть 1;0.8;2;5;4;Это здание не имеет особых архитектурных особенностей.
Коттедж 44;2.1;3;2;2;Это здание имеет стандартную конструкцию.
Сеть 1;1.7;3;2;5;Это здание построено из стандартных строительных материалов.
Мансарда 79;4.0;3;1;1;Это здание представляет собой типичный образец современной архитектуры.
Цирк 47;2.2;2;3;2;Это здание является примером функционального дизайна.
Муравейник 92;4.5;2;5;4;Это здание является примером функционального дизайна.
Особняк 60;4.4;2;5;5;Это здание представляет собой типичный образец современной архитектуры.
Порт 4;1.3;4;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Супермаркет 25;4.0;5;3;4;Это здание не имеет особых архитектурных особенностей.
Верфь 76;4.3;4;5;4;Это здание очень функционально.
Хаус 80;0.2;1;1;1;Это здание представляет собой типичный образец современной архитектуры.
Особняк 89;4.4;1;2;2;Это здание не имеет особых архитектурных особенностей.
Переправа 83;3.9;5;2;2;Это здание представляет собой типичный образец современной архитектуры.
Сеть 95;3.8;2;1;5;Это здание является примером функционального дизайна.
